name,f1,accuracy,precision,recall,roc_auc
XGBClassifier,0.9023090586145648,0.9242424242424242,0.910394265232975,0.8943661971830986,0.9706121343445286
StackingClassifier,0.8927335640138409,0.9146005509641874,0.8775510204081632,0.9084507042253521,0.9693056529220572
LogisticRegression,0.8918918918918919,0.9118457300275482,0.8571428571428571,0.9295774647887324,0.9684373207571219
BaggingClassifier,0.8868613138686131,0.9146005509641874,0.9204545454545454,0.8556338028169014,0.9693335351475368
AdaBoostClassifier,0.8628158844765343,0.8953168044077136,0.8851851851851852,0.8415492957746479,0.9514889108406092
MLPClassifier,0.8601398601398601,0.8898071625344353,0.8541666666666666,0.8661971830985915,0.9497243642852591
